variable_specification,sample_group,max_scalar,min_scalar,nominal_2050
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biofuels,183,1.0,1.0,0.003
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biogas,184,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biomass,185,1.0,1.0,0.016
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal,186,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal_deposits,187,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coke,188,1.0,1.0,0.0016666666666666
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_crude,189,1.0,1.0,0.003
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_diesel,190,1.0,1.0,0.003
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_electricity,191,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_furnace_gas,192,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gasoline,193,1.0,1.0,0.003
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_geothermal,194,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrocarbon_gas_liquids,195,1.0,1.0,0.001
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrogen,196,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydropower,197,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_kerosene,198,1.0,1.0,0.003
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas,199,1.0,1.0,0.002
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas_unprocessed,200,1.0,1.0,0.002
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_nuclear,201,1.0,1.0,0.0
ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_ocean,202,1.0,1.0,0.0
